latitude,longitude,shock
51.1131816,17.0661983,0
51.1130933,17.0659283,0
51.1130133,17.0656549,0
51.1129350,17.0653850,0
51.1128566,17.0651133,0
51.1127783,17.0648733,0
51.1126966,17.0646466,919
51.1126233,17.0644016,2362
51.1125450,17.0641516,2269
51.1124750,17.0639016,0
51.1123966,17.0636533,1784
51.1123066,17.0632866,1263
51.1122250,17.0630100,2250
51.1121616,17.0627216,6688
51.1120966,17.0624433,2481
51.1120450,17.0621766,4684
51.1120033,17.0619333,1031
51.1118966,17.0617583,1156
51.1117700,17.0616400,0
51.1116516,17.0615833,0
51.1116500,17.0615683,0
51.1116716,17.0615616,0
51.1116850,17.0615550,0
51.1116850,17.0615550,0
51.1116850,17.0615550,0
51.1116650,17.0614916,2264
51.1116016,17.0613483,3733
51.1115166,17.0611483,5037
51.1113916,17.0610166,4481
51.1112483,17.0608966,5407
51.1111350,17.0607366,6456
51.1110983,17.0605250,2903
51.1111033,17.0603150,4021
51.1111083,17.0601283,2431
51.1110800,17.0599100,3424
51.1110466,17.0596833,3865
51.1109633,17.0594916,4209
51.1108850,17.0593666,1120
51.1108816,17.0592083,5301
51.1108583,17.0590033,0
51.1108150,17.0587683,0
51.1107499,17.0585333,0
51.1107066,17.0582600,0
51.1106416,17.0580133,3714
51.1105900,17.0576916,938
51.1105066,17.0573816,964
51.1104216,17.0570733,931
51.1103333,17.0567633,0
51.1102650,17.0564600,998
51.1102083,17.0561750,5394
51.1101500,17.0559150,0
51.1101000,17.0556533,2744
51.1100566,17.0554216,0
51.1100350,17.0552450,0
51.1100750,17.0551216,0
51.1100916,17.0550166,0
51.1100933,17.0549616,0
51.1100900,17.0549266,0
51.1100650,17.0548400,919
51.1100300,17.0547350,0
51.1100233,17.0547033,0
51.1100133,17.0546950,0
51.1100116,17.0546950,0
51.1100100,17.0546916,0
51.1100083,17.0546916,0
51.1100050,17.0546900,0
51.1100000,17.0546866,0
51.1098933,17.0545800,964
51.1098683,17.0544433,916
51.1098349,17.0542650,0
51.1097916,17.0540733,0
51.1097366,17.0538716,0
51.1097383,17.0536916,0
51.1097066,17.0535533,9095
51.1096616,17.0533733,942
51.1096066,17.0531800,0
51.1095500,17.0529483,1701
51.1094916,17.0526983,0
51.1094416,17.0524333,0
51.1094016,17.0521650,1060
51.1093650,17.0519183,5023
51.1093050,17.0516833,4250
51.1092250,17.0514366,2263
51.1091350,17.0512049,4775
51.1090066,17.0509699,2251
51.1088650,17.0507566,0
51.1087350,17.0505533,1253
51.1085900,17.0503983,0
51.1084633,17.0502733,6634
51.1083850,17.0500250,3677
51.1082983,17.0497383,7398
51.1081900,17.0494083,3435
51.1080350,17.0491733,3332
51.1078566,17.0490116,773
51.1077283,17.0488433,6360
51.1076133,17.0486733,1337
51.1075016,17.0484583,0
51.1073733,17.0482216,2377
51.1072500,17.0479800,565
51.1073550,17.0476050,3409
51.1073666,17.0473366,6442
51.1073716,17.0471200,2345
51.1074083,17.0469150,7298
51.1074650,17.0467266,4793
51.1074916,17.0465466,1225
51.1074933,17.0463250,0
51.1074633,17.0460700,0
51.1074083,17.0458133,2207
51.1073516,17.0455550,490
51.1072916,17.0453216,0
51.1072266,17.0450866,923
51.1071666,17.0448566,0
51.1071200,17.0446649,0
51.1070750,17.0445816,0
51.1070633,17.0445583,0
51.1070650,17.0445566,0
51.1070650,17.0445600,0
51.1070683,17.0445583,0
51.1070733,17.0445683,0
51.1070733,17.0445683,0
51.1070700,17.0445633,0
51.1070666,17.0445616,0
51.1070633,17.0445616,0
51.1070600,17.0445566,0
51.1070583,17.0445483,0
51.1070550,17.0445416,0
51.1070533,17.0445383,0
51.1070550,17.0445449,0
51.1070533,17.0445366,0
51.1070516,17.0445150,0
51.1070516,17.0445066,0
51.1070600,17.0444666,2934
51.1071333,17.0443866,2790
51.1072500,17.0443099,3926
51.1073383,17.0442033,0
51.1073466,17.0441433,0
51.1073116,17.0440700,2171
51.1073183,17.0438983,0
51.1073516,17.0437266,0
51.1073716,17.0435416,0
51.1073350,17.0433766,4723
51.1072983,17.0431650,0
51.1073950,17.0428600,0
51.1074766,17.0426100,0
51.1075600,17.0422750,0
51.1076150,17.0419966,0
51.1077166,17.0417216,2139
51.1078016,17.0415083,3823
51.1078500,17.0413033,4985
51.1078466,17.0411700,7800
51.1078083,17.0409249,1078
51.1078016,17.0406066,0
51.1078316,17.0403066,0
51.1078433,17.0400500,0
51.1078116,17.0398116,973
51.1077233,17.0395066,0
51.1077150,17.0392533,904
51.1077700,17.0389950,5009
51.1078116,17.0387500,5510
51.1078700,17.0385000,3493
51.1078916,17.0382249,2421
51.1078733,17.0379466,2153
51.1078516,17.0376266,4753
51.1078366,17.0372266,0
51.1077300,17.0368833,3406
51.1076400,17.0365516,5910
51.1075500,17.0362566,0
51.1074316,17.0359850,0
51.1073483,17.0356800,0
51.1073033,17.0353666,0
51.1072616,17.0350749,0
51.1072416,17.0347849,1037
51.1072166,17.0344900,0
51.1072200,17.0341816,0
51.1072333,17.0338783,0
51.1072500,17.0335816,3907
51.1072700,17.0332833,0
51.1073333,17.0329049,2177
51.1073750,17.0326300,0
51.1074266,17.0323450,0
51.1074850,17.0320700,0
51.1075600,17.0317766,1108
51.1076250,17.0314866,0
51.1076866,17.0312100,0
51.1077483,17.0309383,0
51.1077766,17.0306983,0
51.1077416,17.0304666,0
51.1077766,17.0303333,0
51.1078233,17.0301850,0
51.1078700,17.0300050,0
51.1079066,17.0298150,0
51.1079366,17.0296433,0
51.1079883,17.0295183,1128
51.1080950,17.0295450,5755
51.1082216,17.0296083,7056
51.1083366,17.0296466,5597
51.1084916,17.0296983,5331
51.1085866,17.0296966,6536
51.1086783,17.0297116,6973
51.1088100,17.0297850,9950
51.1089183,17.0298550,3535
51.1089116,17.0297683,5410
51.1089383,17.0296683,8059
51.1090033,17.0296116,2471
51.1090266,17.0294983,0
51.1090433,17.0294333,0
51.1090416,17.0294133,0
